uniqueID,movie_name,num_trailers,trailer_id,video_url,video_title,channel,official,teaser,days_diff,trailer_release,trailer_view,trailer_like,trailer_comment,most_recent,oldest,most_liked,most_viewed,most_comment
29,Jurassic World: Dominion,2,1,https://www.youtube.com/watch?v=DtQycgMD4HQ,Jurassic World Dominion | Trailer 2 [HD],Universal Pictures,1,,-43,4/28/2022,34017750,243039,14055,1,1,0,0,0
30,Thor: Love and Thunder,2,0,https://www.youtube.com/watch?v=Go8nTmfrQd8,Marvel Studios' Thor: Love and Thunder | Official Trailer,Marvel Entertainment,1,,-46,5/23/2022,57532670,1619148,61376,1,0,0,1,0
30,Thor: Love and Thunder,2,1,https://www.youtube.com/watch?v=tgB1wUcmbbw,Marvel Studios' Thor: Love and Thunder | Official Teaser,Marvel Entertainment,,1,-81,4/18/2022,45228249,1790619,67678,0,1,1,0,1
31,The Twilight Saga: New Moon,2,0,https://www.youtube.com/watch?v=q58iQSHhZGg,THE TWILIGHT SAGA: NEW MOON - Trailer,The Twilight Saga,1,,-67,9/14/2009,7982202,21811,3234,1,0,1,1,1
31,The Twilight Saga: New Moon,2,1,https://www.youtube.com/watch?v=SxBxqkMmzfI,THE TWILIGHT SAGA: NEW MOON - Teaser Trailer,The Twilight Saga,,1,-172,6/1/2009,3591906,8522,2123,0,1,0,0,0
32,The Twilight Saga: Breaking Dawn - Part 2,3,0,https://www.youtube.com/watch?v=5gRpIQfvNLA,THE TWILIGHT SAGA: BREAKING DAWN - PART 2 - Teaser Trailer,The Twilight Saga,,1,-235,3/26/2012,11919232,24870,5169,0,0,1,1,1
32,The Twilight Saga: Breaking Dawn - Part 2,3,1,https://www.youtube.com/watch?v=pXdOqpyN4ms,THE TWILIGHT SAGA: BREAKING DAWN - PART 2 - Teaser Trailer #2,The Twilight Saga,,1,-149,6/20/2012,5156994,16094,2382,0,0,0,0,0
32,The Twilight Saga: Breaking Dawn - Part 2,3,2,https://www.youtube.com/watch?v=bUXjqQ4GKRg,THE TWILIGHT SAGA: BREAKING DAWN - PART 2 - Theatrical Trailer,The Twilight Saga,1,,-68,9/9/2012,4116620,13165,1718,1,1,0,0,0
33,The Twilight Saga: Breaking Dawn - Part 1,2,0,https://www.youtube.com/watch?v=PQNLfo-SOR4,THE TWILIGHT SAGA: BREAKING DAWN Part 1 - Trailer,The Twilight Saga,1,,-66,9/13/2011,10561154,32578,3962,1,0,1,0,0
33,The Twilight Saga: Breaking Dawn - Part 1,2,1,https://www.youtube.com/watch?v=sIpeBi6SG4A,THE TWILIGHT SAGA: BREAKING DAWN Part 1 - Teaser Trailer,The Twilight Saga,,1,-166,6/5/2011,10779110,25704,11320,0,1,0,1,1
35,Finding Dory,2,0,https://www.youtube.com/watch?v=JhvrQeY3doI,Finding Dory Official US Trailer,Pixar,1,,-107,3/2/2016,4375379,13807,0,1,0,0,1,1
35,Finding Dory,2,1,https://www.youtube.com/watch?v=iG0P6bjyUNI,Finding Dory - Official US Teaser Trailer,Pixar,,1,-220,11/10/2015,4205665,15258,0,0,1,1,0,0
36,The Batman,2,0,https://www.youtube.com/watch?v=mqqft2x_Aa4,THE BATMAN – Main Trailer,Warner Bros. Pictures,1,,-139,10/16/2021,57333995,1314625,97148,1,0,1,1,0
36,The Batman,2,1,https://www.youtube.com/watch?v=NLOp_6uPccQ,The Batman - DC FanDome Teaser,Warner Bros. Pictures,,1,-559,8/22/2020,40432483,1069429,106927,0,1,0,0,1
37,Suicide Squad,1,0,https://www.youtube.com/watch?v=CmRih_VtVAs,Suicide Squad - Official Trailer 1 [HD],Warner Bros. Pictures,1,,-199,1/19/2016,95835693,774521,78782,1,1,1,1,1
38,Deadpool,2,0,https://www.youtube.com/watch?v=ONHBaC-pfsk,Deadpool | Trailer [HD] | 20th Century FOX,20th Century Studios,1,,-192,8/4/2015,20954740,153588,6357,0,0,1,1,1
38,Deadpool,2,1,https://www.youtube.com/watch?v=9vN6DHB6bJc,Deadpool | Official Trailer 2 [HD] | 20th Century FOX,20th Century Studios,1,,-49,12/25/2015,18146036,103330,3785,1,1,0,0,0
39,Frozen II,3,0,https://www.youtube.com/watch?v=Zi4LMpSDccc,Frozen 2 Official Trailer,Walt Disney Animation Studios,1,,-164,6/11/2019,101083576,949402,0,0,0,1,1,1
39,Frozen II,3,1,https://www.youtube.com/watch?v=eSLe4HuKuK0,Frozen 2 | Official Teaser Trailer,Walt Disney Animation Studios,,1,-282,2/13/2019,47792501,865756,0,0,0,0,0,0
39,Frozen II,3,2,https://www.youtube.com/watch?v=bwzLiQZDw2I,Frozen 2 | Official Trailer 2,Walt Disney Animation Studios,1,,-60,9/23/2019,40693568,431141,0,1,1,0,0,0
40,Iron Man 2,1,0,https://www.youtube.com/watch?v=nS8aKzfIyGY,IRON MAN 2 (2010) TRAILER 2 | Hollywood.com Movie Trailers,hollywoodstreams,1,,-60,3/8/2010,17585601,122214,1842,1,1,1,1,1
41,Top Gun: Maverick,1,0,https://www.youtube.com/watch?v=giXco2jaZ_4,Top Gun: Maverick | NEW Official Trailer (2022 Movie) - Tom Cruise,Paramount Pictures,1,,-59,3/29/2022,40242193,306825,22375,1,1,1,1,1
42,Deadpool 2,2,0,https://www.youtube.com/watch?v=D86RtevtfrA,Deadpool 2 | The Trailer,20th Century Studios,1,,-57,3/22/2018,50050376,660711,29405,0,0,1,1,1
42,Deadpool 2,2,1,https://www.youtube.com/watch?v=20bpjtCbCz0,Deadpool 2: The Final Trailer,20th Century Studios,1,,-29,4/19/2018,34160855,476947,27575,1,1,0,0,0
43,Harry Potter and the Deathly Hallows: Part 1,1,0,https://www.youtube.com/watch?v=Su1LOpjvdZ4,Harry Potter and the Deathly Hallows - Main Trailer,Warner Bros. Pictures,1,,-58,9/22/2010,1838189,10728,1674,1,1,1,1,1
