uniqueID,movie_name,video_url,video_title,channel,score,days_diff
2,Avengers: Infinity War,https://www.youtube.com/watch?v=YZxfZknahtw,Marvel Studios' Avengers: Infinity War - Official Trailer Reaction,Hyper RPG,1.0,-42
,,,,,,,
3,Star Wars: Episode VII - The Force Awakens,https://www.youtube.com/watch?v=sGbxmsDFVnE,Star Wars: The Force Awakens Trailer (Official),Star Wars,0.7777777777777778,-60
3,Star Wars: Episode VII - The Force Awakens,https://www.youtube.com/watch?v=erLk59H86ww,Star Wars: The Force Awakens Official Teaser,Star Wars,0.6666666666666666,-385
3,Star Wars: Episode VII - The Force Awakens,https://www.youtube.com/watch?v=ngElkyQ6Rhs,Star Wars: The Force Awakens Official Teaser #2,Star Wars,0.6666666666666666,-246
,,,,,,,
4,Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=Q0CbN8sfihY,Star Wars: The Last Jedi Trailer (Official),Star Wars,0.7777777777777778,-67
4,Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=zB4I68XVPzQ,Star Wars: The Last Jedi Official Teaser,Star Wars,0.6666666666666666,-245
4,Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=4tOZhRrHVa0,Star Wars: Los Últimos Jedi - Trailer 2 (Español Latino),Eduardo Tavera On,0.4444444444444444,-65
4,Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=cOIQgCaFGeY,Star Wars 8: Los Últimos Jedi - Trailer #2 Final Subtitulado 2017,CineMovs Trailers,0.4444444444444444,-67
,,,,,,,
5,Jurassic World,https://www.youtube.com/watch?v=RFinNxS5KN4,Jurassic World - Official Trailer (HD),Universal Pictures,1.0,-199
5,Jurassic World,https://www.youtube.com/watch?v=aJJrkyHas78,Jurassic World - Official Global Trailer (HD),Universal Pictures,1.0,-53
5,Jurassic World,https://www.youtube.com/watch?v=nQwt1nlSQ3A,Jurassic World - Tráiler Oficial - Español Latino - HD,MxTrailers HD,0.75,-199
,,,,,,,
6,The Avengers,https://www.youtube.com/watch?v=eOrNdBpGMv8,Marvel's The Avengers- Trailer (OFFICIAL),Marvel Entertainment,1.0,-206
6,The Avengers,https://www.youtube.com/watch?v=D3ZNtOcY_1A,Soundgarden - Live to Rise (From Marvel's THE AVENGERS) - Official Video,Soundgarden,0.75,-1
6,The Avengers,https://www.youtube.com/watch?v=hIR8Ar-Z4hw,Marvel's The Avengers Trailer 2 (OFFICIAL),Marvel Entertainment,1.0,-64
,,,,,,,
7,Black Panther,https://www.youtube.com/watch?v=xjDjIWPwcPU,Marvel Studios' Black Panther - Official Trailer,Marvel Entertainment,1.0,-123
