uniqueID,movie_name,video_url,video_title,channel,score,id,official,teaser,days_diff,need_extra_attention,need_to_select_trailer
,,,,,,,,,,,
13,Captain America: Civil War,https://www.youtube.com/watch?v=dKrVegVI0Us,Marvel's Captain America: Civil War - Trailer 2,Marvel Entertainment,0.83,1,1,,-57,0,0
13,Captain America: Civil War,https://www.youtube.com/watch?v=0L7iH3foZU0,Marvel's Captain America: Civil War - Big Game Spot,Marvel Entertainment,0.67,2,,1,-89,0,0
13,Captain America: Civil War,https://www.youtube.com/watch?v=43NWzay3W4s,The Civil War Begins – 1st Trailer for Marvel’s “Captain America: Civil War”,Marvel Entertainment,0.83,3,1,,-164,0,0
,,,,,,,,,,,
14,Star Wars: Episode IX - The Rise of Skywalker,https://www.youtube.com/watch?v=8Qn_spdM5Zg,Star Wars: The Rise of Skywalker | Final Trailer,Star Wars,0.7,1,1,,-60,0,0
14,Star Wars: Episode IX - The Rise of Skywalker,https://www.youtube.com/watch?v=adzYW5DZoWs,Star Wars: The Rise of Skywalker – Teaser,Star Wars,0.6,2,,1,-252,0,0
14,Star Wars: Episode IX - The Rise of Skywalker,https://www.youtube.com/watch?v=3n1T3HxHd7Y,Star Wars: The Rise Of Skywalker | D23 Special Look,Star Wars,0.6,3,,,-116,0,0
,,,,,,,,,,,
15,Beauty and the Beast,https://www.youtube.com/watch?v=e3Nl_TCQXuw,Beauty and the Beast – US Official Final Trailer,Walt Disney Studios,1.0,1,1,,-46,0,0
15,Beauty and the Beast,https://www.youtube.com/watch?v=OvW_L8sTu5E,Beauty and the Beast US Official Trailer,Walt Disney Studios,1.0,2,1,,-123,0,0
15,Beauty and the Beast,https://www.youtube.com/watch?v=c38r-SAnTWM,Beauty and the Beast Official US Teaser Trailer,Walt Disney Studios,1.0,3,,1,-298,0,0
,,,,,,,,,,,
16,Iron Man 3,https://www.youtube.com/watch?v=YLorLVa95Xo,Marvel's Iron Man 3 Domestic Trailer 2 (OFFICIAL),Marvel Entertainment,1.0,1,1,,-58,0,0
16,Iron Man 3,https://www.youtube.com/watch?v=f_h95mEd4TI,Marvel's Iron Man 3 Domestic Trailer (OFFICIAL),Marvel Entertainment,1.0,2,1,,-192,0,0
,,,,,,,,,,,
17,Harry Potter and the Deathly Hallows: Part 2,https://www.youtube.com/watch?v=5NYt1qirBWg,Harry Potter and the Deathly Hallows - Part 2 Trailer 2,Warner Bros. Pictures,0.89,1,1,,-29,0,0
17,Harry Potter and the Deathly Hallows: Part 2,https://www.youtube.com/watch?v=mObK5XD8udk,Harry Potter and the Deathly Hallows - Part 2 Trailer 1,Warner Bros. Pictures,0.89,2,1,,-79,0,0
,,,,,,,,,,,
18,Batman v Superman: Dawn of Justice,https://www.youtube.com/watch?v=0WWzgGyAH6Y,Batman v Superman: Dawn of Justice - Comic-Con Trailer [HD],Warner Bros. Pictures,0.86,1,,,-258,0,0
18,Batman v Superman: Dawn of Justice,https://www.youtube.com/watch?v=fis-9Zqu2Ro,Batman v Superman: Dawn of Justice - Official Trailer 2 [HD],Warner Bros. Pictures,1.0,2,1,,-114,0,0
18,Batman v Superman: Dawn of Justice,https://www.youtube.com/watch?v=IwfUnkBfdZ4,Batman v Superman: Dawn of Justice - Official Teaser Trailer [HD],Warner Bros. Pictures,1.0,3,,1,-343,0,0
18,Batman v Superman: Dawn of Justice,https://www.youtube.com/watch?v=NhWg7AQLI_8,Batman v Superman: Dawn of Justice - Official Final Trailer [HD],Warner Bros. Pictures,1.0,4,1,,-40,0,0
,,,,,,,,,,,
21,The Hunger Games: Catching Fire,https://www.youtube.com/watch?v=MkvUNfySGQU,The Hunger Games: Catching Fire - Official Trailer,The Hunger Games,1.0,1,1,,-124,0,0
21,The Hunger Games: Catching Fire,https://www.youtube.com/watch?v=zoKj7TdJk98,The Hunger Games: Catching Fire - EXCLUSIVE Final Trailer,The Hunger Games,0.86,2,1,,-26,0,0
21,The Hunger Games: Catching Fire,https://www.youtube.com/watch?v=jyPnQw_Lqds,The Hunger Games: Catching Fire - Exclusive Teaser Trailer,The Hunger Games,0.86,3,,1,-222,0,0
21,The Hunger Games: Catching Fire,https://www.youtube.com/watch?v=joPveEKnxaw,The Hunger Games: Catching Fire (2013) - Official Trailer #1,Lionsgate Movies,1.0,4,1,,-7,0,0
,,,,,,,,,,,
22,Rogue One: A Star Wars Story,https://www.youtube.com/watch?v=Wji-BZ0oCwg,ROGUE ONE: A STAR WARS STORY Official Teaser Trailer,Star Wars,1.0,1,,1,-253,0,0
22,Rogue One: A Star Wars Story,https://www.youtube.com/watch?v=frdj1zb9sMY,Rogue One: A Star Wars Story Trailer (Official),Star Wars,1.0,2,1,,-127,0,0
22,Rogue One: A Star Wars Story,https://www.youtube.com/watch?v=sC9abcLLQpI,Rogue One: A Star Wars Story Trailer #2 (Official),Star Wars,1.0,3,1,,-64,0,0
22,Rogue One: A Star Wars Story,https://www.youtube.com/watch?v=A-TpMXQojRA,Rogue One: A Star Wars Story Official Chinese Trailer,Star Wars,1.0,4,,,-9,0,0
,,,,,,,,,,,
23,Captain Marvel,https://www.youtube.com/watch?v=Z1BCujX3pw8,Marvel Studios' Captain Marvel - Official Trailer,Marvel Entertainment,1.0,1,1,,-171,0,0
23,Captain Marvel,https://www.youtube.com/watch?v=0LHxvxdRnYc,Marvel Studios' Captain Marvel - Trailer 2,Marvel Entertainment,0.75,2,1,,-95,0,0
23,Captain Marvel,https://www.youtube.com/watch?v=GX33bIOA5aA,Marvel Studios' Captain Marvel | Special Look,Marvel Entertainment,0.5,3,,,-60,0,0
23,Captain Marvel,https://www.youtube.com/watch?v=NCoPycawxUk,Marvel Studios' Captain Marvel - "Big Game" TV Spot,Marvel Entertainment,0.5,4,,,-33,0,0
,,,,,,,,,,,
24,The Hunger Games,https://www.youtube.com/watch?v=mfmrPu43DF8,The Hunger Games (2012 Movie) - Official Theatrical Trailer - Jennifer Lawrence & Liam Hemsworth,Lionsgate Movies,1.0,1,1,,-130,0,0
,,,,,,,,,,,
26,Jurassic World: Fallen Kingdom,https://www.youtube.com/watch?v=vn9mMeWcgoM,Jurassic World: Fallen Kingdom - Official Trailer [HD],Universal Pictures,1.0,1,1,,-197,0,0
26,Jurassic World: Fallen Kingdom,https://www.youtube.com/watch?v=NooW_RbfdWI,Jurassic World: Fallen Kingdom - Official Trailer #2 [HD],Universal Pictures,1.0,2,1,,-138,0,0
26,Jurassic World: Fallen Kingdom,https://www.youtube.com/watch?v=1FJD7jZqZEk,Jurassic World: Fallen Kingdom - Final Trailer [HD],Universal Pictures,0.83,3,1,,-65,0,0
26,Jurassic World: Fallen Kingdom,https://www.youtube.com/watch?v=-hfwJfrqkOk,Jurassic World: Fallen Kingdom - Trailer Tonight (Remarkable) (HD),Universal Pictures,0.83,4,,,-197,0,0
,,,,,,,,,,,
27,Furious 7,https://www.youtube.com/watch?v=Skpu5HaVkOc,Furious 7 - Official Trailer (HD),The Fast Saga,1.0,1,1,,-153,0,0
27,Furious 7,https://www.youtube.com/watch?v=yISKeT6sDOg,Furious 7 - Official Theatrical Trailer (HD),The Fast Saga,1.0,2,1,,-58,0,0
27,Furious 7,https://www.youtube.com/watch?v=RDxQPRnIMdA,Furious 7 - Extended First Look (HD),The Fast Saga,0.33,3,,,-29,0,0
,,,,,,,,,,,
28,Guardians of the Galaxy Vol. 2,https://www.youtube.com/watch?v=dW1BIid8Osg,Guardians of the Galaxy Vol. 2 Teaser Trailer,Marvel Entertainment,0.86,1,,1,-153,0,0
28,Guardians of the Galaxy Vol. 2,https://www.youtube.com/watch?v=wUn05hdkhjM,Guardians of the Galaxy Vol. 2 - Trailer 3 (Official),Marvel Entertainment,1.0,2,1,,-65,0,0
28,Guardians of the Galaxy Vol. 2,https://www.youtube.com/watch?v=2WhQcK-Zaok,Guardians of the Galaxy Vol. 2 Sneak Peek,Marvel Entertainment,0.71,3,,,-198,0,0
,,,,,,,,,,,
29,Jurassic World: Dominion,https://www.youtube.com/watch?v=fb5ELWi-ekk,Jurassic World Dominion - Official Trailer [HD],Universal Pictures,1.0,1,1,,-120,0,0
29,Jurassic World: Dominion,https://www.youtube.com/watch?v=DtQycgMD4HQ,Jurassic World Dominion | Trailer 2 [HD],Universal Pictures,0.8,2,1,,-43,0,0
,,,,,,,,,,,
30,Thor: Love and Thunder,https://www.youtube.com/watch?v=Go8nTmfrQd8,Marvel Studios' Thor: Love and Thunder | Official Trailer,Marvel Entertainment,1.0,1,1,,-46,0,0
30,Thor: Love and Thunder,https://www.youtube.com/watch?v=tgB1wUcmbbw,Marvel Studios' Thor: Love and Thunder | Official Teaser,Marvel Entertainment,0.83,2,,1,-81,0,0
,,,,,,,,,,,
31,The Twilight Saga: New Moon,https://www.youtube.com/watch?v=q58iQSHhZGg,THE TWILIGHT SAGA: NEW MOON - Trailer,The Twilight Saga,0.86,1,1,,-67,0,0
31,The Twilight Saga: New Moon,https://www.youtube.com/watch?v=SxBxqkMmzfI,THE TWILIGHT SAGA: NEW MOON - Teaser Trailer,The Twilight Saga,0.86,2,,1,-172,0,0
,,,,,,,,,,,
32,The Twilight Saga: Breaking Dawn - Part 2,https://www.youtube.com/watch?v=5gRpIQfvNLA,THE TWILIGHT SAGA: BREAKING DAWN - PART 2 - Teaser Trailer,The Twilight Saga,0.88,1,,1,-235,0,0
32,The Twilight Saga: Breaking Dawn - Part 2,https://www.youtube.com/watch?v=pXdOqpyN4ms,THE TWILIGHT SAGA: BREAKING DAWN - PART 2 - Teaser Trailer #2,The Twilight Saga,0.88,2,,1,-149,0,0
32,The Twilight Saga: Breaking Dawn - Part 2,https://www.youtube.com/watch?v=bUXjqQ4GKRg,THE TWILIGHT SAGA: BREAKING DAWN - PART 2 - Theatrical Trailer,The Twilight Saga,0.88,3,1,,-68,0,0
,,,,,,,,,,,
