movie_name,video_url,video_title,channel,score,id,official_trailer,known_channels_used,official,teaser
Jurassic World: Dominion,https://www.youtube.com/watch?v=fb5ELWi-ekk,Jurassic World Dominion - Official Trailer [HD],Universal Pictures,1.0,1,1,1,1,
Jurassic World: Dominion,https://www.youtube.com/watch?v=DtQycgMD4HQ,Jurassic World Dominion | Trailer 2 [HD],Universal Pictures,0.8,2,1,1,1,
,,,,,,,,,
Black Panther,https://www.youtube.com/watch?v=xjDjIWPwcPU,Marvel Studios' Black Panther - Official Trailer,Marvel Entertainment,1.0,1,1,1,1,
Black Panther,https://www.youtube.com/watch?v=dxWvtMOGAhw,Black Panther Teaser Trailer [HD],Marvel Entertainment,0.75,2,1,1,,1
,,,,,,,,,
The Twilight Saga: Breaking Dawn - Part 2,https://www.youtube.com/watch?v=5gRpIQfvNLA,THE TWILIGHT SAGA: BREAKING DAWN - PART 2 - Teaser Trailer,The Twilight Saga,0.88,1,1,1,,1
The Twilight Saga: Breaking Dawn - Part 2,https://www.youtube.com/watch?v=pXdOqpyN4ms,THE TWILIGHT SAGA: BREAKING DAWN - PART 2 - Teaser Trailer #2,The Twilight Saga,0.88,2,1,1,,1
The Twilight Saga: Breaking Dawn - Part 2,https://www.youtube.com/watch?v=bUXjqQ4GKRg,THE TWILIGHT SAGA: BREAKING DAWN - PART 2 - Theatrical Trailer,The Twilight Saga,0.88,3,1,1,1,
,,,,,,,,,
Incredibles 2,https://www.youtube.com/watch?v=i5qOzqD9Rms,Incredibles 2 Official Trailer,Pixar,1.0,1,1,1,1,
Incredibles 2,https://www.youtube.com/watch?v=ZJDMWVZta3M,Incredibles 2 Official Teaser Trailer,Pixar,1.0,2,1,1,,1
Incredibles 2,https://www.youtube.com/watch?v=YBpdL9hSac4,Incredibles 2 - Olympics Sneak Peek,Pixar,0.33,3,0,1,,
,,,,,,,,,
Black Panther: Wakanda Forever,https://www.youtube.com/watch?v=_Z3QKkl1WyM,Marvel Studios’ Black Panther: Wakanda Forever | Official Trailer,Marvel Entertainment,1.0,1,1,1,1,
Black Panther: Wakanda Forever,https://www.youtube.com/watch?v=RlOB3UALvrQ,Marvel Studios’ Black Panther: Wakanda Forever | Official Teaser,Marvel Entertainment,0.83,2,1,1,,1
Black Panther: Wakanda Forever,https://www.youtube.com/watch?v=P5vp_QPttf4,Marvel Studios’ Black Panther: Wakanda Forever | One Week,Marvel Entertainment,0.67,3,0,1,,
,,,,,,,,,
Avengers: Age of Ultron,https://www.youtube.com/watch?v=tmeOjFno6Do,"Marvel's ""Avengers: Age of Ultron"" - Teaser Trailer (OFFICIAL)",Marvel Entertainment,1.0,1,1,1,,1
Avengers: Age of Ultron,https://www.youtube.com/watch?v=JAUoeqvedMo,Marvel's Avengers: Age of Ultron - Trailer 3,Marvel Entertainment,0.83,2,1,1,1,
Avengers: Age of Ultron,https://www.youtube.com/watch?v=MZoO8QVMxkk,New Avengers Trailer Arrives - Marvel's Avengers: Age of Ultron Trailer 2,Marvel Entertainment,0.83,3,1,1,1,
,,,,,,,,,
The Dark Knight,None,None,None,None,None,None,None,,
,,,,,,,,,
Star Wars: Episode IX - The Rise of Skywalker,https://www.youtube.com/watch?v=8Qn_spdM5Zg,Star Wars: The Rise of Skywalker | Final Trailer,Star Wars,0.7,1,0,1,1,
Star Wars: Episode IX - The Rise of Skywalker,https://www.youtube.com/watch?v=adzYW5DZoWs,Star Wars: The Rise of Skywalker – Teaser,Star Wars,0.6,2,0,1,,1
Star Wars: Episode IX - The Rise of Skywalker,https://www.youtube.com/watch?v=3n1T3HxHd7Y,Star Wars: The Rise Of Skywalker | D23 Special Look,Star Wars,0.6,3,0,1,,
,,,,,,,,,
The Lion King,https://www.youtube.com/watch?v=4CbLXeGSDxg,The Lion King Official Teaser Trailer,Walt Disney Studios,1.0,1,1,1,,1
The Lion King,https://www.youtube.com/watch?v=7TavVZMewpY,The Lion King Official Trailer,Walt Disney Studios,1.0,2,1,1,1,
,,,,,,,,,
Rogue One: A Star Wars Story,https://www.youtube.com/watch?v=Wji-BZ0oCwg,ROGUE ONE: A STAR WARS STORY Official Teaser Trailer,Star Wars,1.0,1,1,1,,1
Rogue One: A Star Wars Story,https://www.youtube.com/watch?v=frdj1zb9sMY,Rogue One: A Star Wars Story Trailer (Official),Star Wars,1.0,2,1,1,1,
Rogue One: A Star Wars Story,https://www.youtube.com/watch?v=sC9abcLLQpI,Rogue One: A Star Wars Story Trailer #2 (Official),Star Wars,1.0,3,1,1,1,
Rogue One: A Star Wars Story,https://www.youtube.com/watch?v=A-TpMXQojRA,Rogue One: A Star Wars Story Official Chinese Trailer,Star Wars,1.0,4,1,1,,
,,,,,,,,,
The Hunger Games: Catching Fire,https://www.youtube.com/watch?v=MkvUNfySGQU,The Hunger Games: Catching Fire - Official Trailer,The Hunger Games,1.0,1,1,1,1,
The Hunger Games: Catching Fire,https://www.youtube.com/watch?v=zoKj7TdJk98,The Hunger Games: Catching Fire - EXCLUSIVE Final Trailer,The Hunger Games,0.86,2,1,1,1,
The Hunger Games: Catching Fire,https://www.youtube.com/watch?v=jyPnQw_Lqds,The Hunger Games: Catching Fire - Exclusive Teaser Trailer,The Hunger Games,0.86,3,1,1,,1
The Hunger Games: Catching Fire,https://www.youtube.com/watch?v=joPveEKnxaw,The Hunger Games: Catching Fire (2013) - Official Trailer #1,Lionsgate Movies,1.0,4,1,1,1,
,,,,,,,,,
The Twilight Saga: Breaking Dawn - Part 1,https://www.youtube.com/watch?v=PQNLfo-SOR4,THE TWILIGHT SAGA: BREAKING DAWN Part 1 - Trailer,The Twilight Saga,0.88,1,1,1,1,
The Twilight Saga: Breaking Dawn - Part 1,https://www.youtube.com/watch?v=sIpeBi6SG4A,THE TWILIGHT SAGA: BREAKING DAWN Part 1 - Teaser Trailer,The Twilight Saga,0.88,2,1,1,,1
,,,,,,,,,
Iron Man 3,https://www.youtube.com/watch?v=YLorLVa95Xo,Marvel's Iron Man 3 Domestic Trailer 2 (OFFICIAL),Marvel Entertainment,1.0,1,1,1,1,
Iron Man 3,https://www.youtube.com/watch?v=f_h95mEd4TI,Marvel's Iron Man 3 Domestic Trailer (OFFICIAL),Marvel Entertainment,1.0,2,1,1,1,
,,,,,,,,,
Spider-Man 3,https://www.youtube.com/watch?v=67ERtC_OKLQ,Spider-Man 3 - new trailer,Spiderman3Movie,0.67,1,0,0,,
,,,,,,,,,
Guardians of the Galaxy Vol. 2,https://www.youtube.com/watch?v=dW1BIid8Osg,Guardians of the Galaxy Vol. 2 Teaser Trailer,Marvel Entertainment,0.86,1,1,1,,1
Guardians of the Galaxy Vol. 2,https://www.youtube.com/watch?v=wUn05hdkhjM,Guardians of the Galaxy Vol. 2 - Trailer 3 (Official),Marvel Entertainment,1.0,2,1,1,1,
Guardians of the Galaxy Vol. 2,https://www.youtube.com/watch?v=2WhQcK-Zaok,Guardians of the Galaxy Vol. 2 Sneak Peek,Marvel Entertainment,0.71,3,0,1,,
,,,,,,,,,
Captain Marvel,https://www.youtube.com/watch?v=Z1BCujX3pw8,Marvel Studios' Captain Marvel - Official Trailer,Marvel Entertainment,1.0,1,1,1,1,
Captain Marvel,https://www.youtube.com/watch?v=0LHxvxdRnYc,Marvel Studios' Captain Marvel - Trailer 2,Marvel Entertainment,0.75,2,1,1,1,
Captain Marvel,https://www.youtube.com/watch?v=GX33bIOA5aA,Marvel Studios' Captain Marvel | Special Look,Marvel Entertainment,0.5,3,0,1,,
Captain Marvel,https://www.youtube.com/watch?v=NCoPycawxUk,"Marvel Studios' Captain Marvel - ""Big Game"" TV Spot",Marvel Entertainment,0.5,4,0,1,,
,,,,,,,,,
The Dark Knight Rises,https://www.youtube.com/watch?v=g8evyE9TuYk,The Dark Knight Rises - Official Trailer #3 [HD],Warner Bros. Pictures,1.0,1,1,1,1,
The Dark Knight Rises,https://www.youtube.com/watch?v=z5Humz3ONgk,The Dark Knight Rises - Official Teaser Trailer [HD],Warner Bros. Pictures,1.0,2,1,1,,1
The Dark Knight Rises,https://www.youtube.com/watch?v=J9DlV9qwtF0,The Dark Knight Rises - Official Trailer #4 [HD],Warner Bros. Pictures,1.0,3,1,1,1,
The Dark Knight Rises,https://www.youtube.com/watch?v=7gFwvozMHR4,The Dark Knight Rises - Official Trailer #2 [HD],Warner Bros. Pictures,1.0,4,1,1,1,
,,,,,,,,,
Finding Dory,https://www.youtube.com/watch?v=JhvrQeY3doI,Finding Dory Official US Trailer,Pixar,1.0,1,1,1,1,
Finding Dory,https://www.youtube.com/watch?v=iG0P6bjyUNI,Finding Dory - Official US Teaser Trailer,Pixar,1.0,2,1,1,,1
,,,,,,,,,
Deadpool,https://www.youtube.com/watch?v=ONHBaC-pfsk,Deadpool | Trailer [HD] | 20th Century FOX,20th Century Studios,0.67,1,0,1,1,
Deadpool,https://www.youtube.com/watch?v=9vN6DHB6bJc,Deadpool | Official Trailer 2 [HD] | 20th Century FOX,20th Century Studios,1.0,2,1,1,1,
,,,,,,,,,
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=aWzlQ2N6qqg,Marvel Studios' Doctor Strange in the Multiverse of Madness | Official Trailer,Marvel Entertainment,1.0,1,1,1,1,
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=Rt_UqUm38BI,Marvel Studios' Doctor Strange in the Multiverse of Madness | Official Teaser,Marvel Entertainment,0.89,2,1,1,,1
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=NLTYw1s4e-8,Marvel Studios' Doctor Strange in the Multiverse of Madness | Dream,Marvel Entertainment,0.78,3,1,1,1,
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=Rf8LAYJSOL8,Marvel Studios’ Doctor Strange in the Multiverse of Madness | Final Trailer,Marvel Entertainment,0.89,4,1,1,1,
,,,,,,,,,
Furious 7,https://www.youtube.com/watch?v=Skpu5HaVkOc,Furious 7 - Official Trailer (HD),The Fast Saga,1.0,1,1,1,1,
Furious 7,https://www.youtube.com/watch?v=yISKeT6sDOg,Furious 7 - Official Theatrical Trailer (HD),The Fast Saga,1.0,2,1,1,1,
Furious 7,https://www.youtube.com/watch?v=RDxQPRnIMdA,Furious 7 - Extended First Look (HD),The Fast Saga,0.33,3,0,1,,
,,,,,,,,,
Captain America: Civil War,https://www.youtube.com/watch?v=dKrVegVI0Us,Marvel's Captain America: Civil War - Trailer 2,Marvel Entertainment,0.83,1,1,1,1,
Captain America: Civil War,https://www.youtube.com/watch?v=0L7iH3foZU0,Marvel's Captain America: Civil War - Big Game Spot,Marvel Entertainment,0.67,2,0,1,,1
Captain America: Civil War,https://www.youtube.com/watch?v=43NWzay3W4s,The Civil War Begins – 1st Trailer for Marvel’s “Captain America: Civil War”,Marvel Entertainment,0.83,3,1,1,1,
,,,,,,,,,
Thor: Love and Thunder,https://www.youtube.com/watch?v=Go8nTmfrQd8,Marvel Studios' Thor: Love and Thunder | Official Trailer,Marvel Entertainment,1.0,1,1,1,1,
Thor: Love and Thunder,https://www.youtube.com/watch?v=tgB1wUcmbbw,Marvel Studios' Thor: Love and Thunder | Official Teaser,Marvel Entertainment,0.83,2,1,1,,1
,,,,,,,,,
The Hunger Games,https://www.youtube.com/watch?v=mfmrPu43DF8,The Hunger Games (2012 Movie) - Official Theatrical Trailer - Jennifer Lawrence & Liam Hemsworth,Lionsgate Movies,1.0,1,1,1,1,
,,,,,,,,,
Suicide Squad,https://www.youtube.com/watch?v=CmRih_VtVAs,Suicide Squad - Official Trailer 1 [HD],Warner Bros. Pictures,1.0,1,1,1,1,
Suicide Squad,https://www.youtube.com/watch?v=PLLQK9la6Go,Suicide Squad - Comic-Con First Look [HD],Warner Bros. Pictures,0.5,2,0,1,,
,,,,,,,,,
The Batman,https://www.youtube.com/watch?v=mqqft2x_Aa4,THE BATMAN – Main Trailer,Warner Bros. Pictures,0.75,1,1,1,1,
The Batman,https://www.youtube.com/watch?v=NLOp_6uPccQ,The Batman - DC FanDome Teaser,Warner Bros. Pictures,0.5,2,0,1,,1
,,,,,,,,,
Frozen II,https://www.youtube.com/watch?v=Zi4LMpSDccc,Frozen 2 Official Trailer,Walt Disney Animation Studios,0.75,1,1,1,1,
Frozen II,https://www.youtube.com/watch?v=eSLe4HuKuK0,Frozen 2 | Official Teaser Trailer,Walt Disney Animation Studios,0.75,2,1,1,,1
Frozen II,https://www.youtube.com/watch?v=bwzLiQZDw2I,Frozen 2 | Official Trailer 2,Walt Disney Animation Studios,0.75,3,1,1,1,
Frozen II,https://www.youtube.com/watch?v=vSKlICmmi98,"Frozen 2 | ""Into The Unknown"" Special Look",Walt Disney Animation Studios,0.25,4,0,1,,
,,,,,,,,,
Minions,https://www.youtube.com/watch?v=jc86EFjLFV4,Minions | Official Trailer 2 (HD) | Illumination,Illumination,1.0,1,1,1,1,
Minions,https://www.youtube.com/watch?v=Wfql_DoHRKc,Minions | Official Trailer 3 (HD) | Illumination,Illumination,1.0,2,1,1,1,
Minions,https://www.youtube.com/watch?v=P9-FCC6I7u0,Minions | Official Trailer (HD) | Illumination,Illumination,1.0,3,1,1,1,
,,,,,,,,,
Harry Potter and the Deathly Hallows: Part 1,https://www.youtube.com/watch?v=Su1LOpjvdZ4,Harry Potter and the Deathly Hallows - Main Trailer,Warner Bros. Pictures,0.78,1,1,1,1,
,,,,,,,,,
Iron Man 2,https://www.youtube.com/watch?v=opL2ADRqBDM,Iron Man 2 - Espectacular Trailer 2 Español Latino - FULL HD,5max1HD,0.75,1,1,0,,
Iron Man 2,https://www.youtube.com/watch?v=Ab_mvS68xng,Iron Man 2 - trailer en español,Fanmosas,0.75,2,1,0,,
Iron Man 2,https://www.youtube.com/watch?v=nS8aKzfIyGY,IRON MAN 2 (2010) TRAILER 2 | Hollywood.com Movie Trailers,hollywoodstreams,0.75,3,1,0,,
,,,,,,,,,
Shrek the Third,https://www.youtube.com/watch?v=-ADd1hXO8SU,Shrek The Third Trailer,Margarita Ocaña,0.8,1,1,0,,
,,,,,,,,,
Top Gun: Maverick,https://www.youtube.com/watch?v=qSqVVswa420,Top Gun: Maverick - Official Trailer (2022) - Paramount Pictures,Paramount Pictures,1.0,1,1,1,1,
Top Gun: Maverick,https://www.youtube.com/watch?v=giXco2jaZ_4,Top Gun: Maverick | NEW Official Trailer (2022 Movie) - Tom Cruise,Paramount Pictures,1.0,2,1,1,1,
Top Gun: Maverick,https://www.youtube.com/watch?v=g4U4BQW9OEk,Top Gun: Maverick (2022) – New Trailer - Paramount Pictures,Paramount Pictures,0.8,3,1,1,1,
,,,,,,,,,
Deadpool 2,https://www.youtube.com/watch?v=D86RtevtfrA,Deadpool 2 | The Trailer,20th Century Studios,0.67,1,0,1,1,
Deadpool 2,https://www.youtube.com/watch?v=20bpjtCbCz0,Deadpool 2: The Final Trailer,20th Century Studios,0.67,2,0,1,1,
,,,,,,,,,
Spider-Man: Homecoming,https://www.youtube.com/watch?v=rk-dF1lIbIg,SPIDER-MAN: HOMECOMING - Official Trailer (HD),Sony Pictures Entertainment,1.0,1,1,1,1,
Spider-Man: Homecoming,https://www.youtube.com/watch?v=DiTECkLZ8HM,SPIDER-MAN: HOMECOMING - Official Trailer #2 (HD),Sony Pictures Entertainment,1.0,2,1,1,1,
Spider-Man: Homecoming,https://www.youtube.com/watch?v=lCkVr1n1eCA,SPIDER-MAN: HOMECOMING - Official International Trailer (HD),Sony Pictures Entertainment,1.0,3,1,1,,
