movie_name,video_url,video_title,channel
Star Wars: Episode VII - The Force Awakens,https://www.youtube.com/watch?v=y8--ho6gKe4,Star Wars: The Force Awakens - Official Trailer Music,David J Lemke
Star Wars: Episode VII - The Force Awakens,https://www.youtube.com/watch?v=2gCbnwavkKc,Star Wars: Episode VII - The Force Awakens ALL Trailer & Clips (2015),KinoCheck.com
,,,,
Beauty and the Beast,https://www.youtube.com/watch?v=e3Nl_TCQXuw,Beauty and the Beast – US Official Final Trailer,Walt Disney Studios
Beauty and the Beast,https://www.youtube.com/watch?v=OvW_L8sTu5E,Beauty and the Beast US Official Trailer,Walt Disney Studios
Beauty and the Beast,https://www.youtube.com/watch?v=axySrE0Kg6k,Beauty and the Beast (From "Beauty and the Beast"/Official Video),DisneyMusicVEVO
Beauty and the Beast,https://www.youtube.com/watch?v=c38r-SAnTWM,Beauty and the Beast Official US Teaser Trailer,Walt Disney Studios
Beauty and the Beast,https://www.youtube.com/watch?v=AFcrsNDYAms,Beauty and the Beast - Official Trailer,Madman Films
Beauty and the Beast,https://www.youtube.com/watch?v=k8K6rDCZVdI,H.E.R. and Josh Groban Perform 'Beauty and the Beast' - Beauty and the Beast: A 30th Celebration,ABC
Beauty and the Beast,https://www.youtube.com/watch?v=2ivxi35a28c,Beauty and the Beast Trailer Music| REBORN - Really Slow Motion,Epic Music VN
Beauty and the Beast,https://www.youtube.com/watch?v=iurbZwxKFUE,Beauty and the Beast (1991) Trailer #1 | Movieclips Classic Trailers,Rotten Tomatoes Classic Trailers
Beauty and the Beast,https://www.youtube.com/watch?v=k-AyhL9AR9Q,Beauty and the Beast Trailer #2 (2017) | Movieclips Trailers,Rotten Tomatoes Trailers
Beauty and the Beast,https://www.youtube.com/watch?v=iSGUAlTDyO8,Beauty and the Beast Official Trailer 1 (2017) - Emma Watson Movie,Rotten Tomatoes Trailers
,,,,
The Avengers,https://www.youtube.com/watch?v=eOrNdBpGMv8,Marvel's The Avengers- Trailer (OFFICIAL),Marvel Entertainment
The Avengers,https://www.youtube.com/watch?v=hA6hldpSTF8,Marvel Studios' Avengers - Official Trailer,Marvel Entertainment
The Avengers,https://www.youtube.com/watch?v=-NfKTtTozWg,The Avengers - Trailer,Warner Bros.
The Avengers,https://www.youtube.com/watch?v=hIR8Ar-Z4hw,Marvel's The Avengers Trailer 2 (OFFICIAL),Marvel Entertainment
The Avengers,https://www.youtube.com/watch?v=D3ZNtOcY_1A,Soundgarden - Live to Rise (From Marvel's THE AVENGERS) - Official Video,Soundgarden
The Avengers,https://www.youtube.com/watch?v=dNwxvuR41gw,Avengers: Infinity War: Official Trailer | Dolby Cinema | Dolby,Dolby
The Avengers,https://www.youtube.com/watch?v=6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment
The Avengers,https://www.youtube.com/watch?v=YZxfZknahtw,Marvel Studios' Avengers: Infinity War - Official Trailer Reaction,Hyper RPG
The Avengers,https://www.youtube.com/watch?v=1hPpG4s3-O4,THE AVENGERS Trailer 2012 Movie - Official [HD],Cieon Movies
The Avengers,https://www.youtube.com/watch?v=znk2OICHbjY,Avengers: Endgame – Tráiler oficial #1 (Subtitulado),Marvel Latinoamérica Oficial
,,,,
Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=Q0CbN8sfihY,Star Wars: The Last Jedi Trailer (Official),Star Wars
Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=zB4I68XVPzQ,Star Wars: The Last Jedi Official Teaser,Star Wars
Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=s2hM1tyEL0U,Star Wars: The Last Jedi | Lightspeed Scene 4K (Holdo's Sacrifice),MassiveG
Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=paxgKBUK4wQ,Honest Trailers - Star Wars: The Last Jedi,Screen Junkies
Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=anOJjqQb8x0,Star Wars: Los Últimos Jedi - Nuevo Tráiler Oficial en español HD,Star Wars España
Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=3_YJYdJA6Yc,Star Wars: Los últimos Jedi de Lucasfilm – Nuevo tráiler,Star Wars Latinoamérica
Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=Ecd4eA067P0,Star Wars: The Last Jedi In-Home Trailer (Official),Star Wars
Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=4tOZhRrHVa0,Star Wars: Los Últimos Jedi - Trailer 2 (Español Latino),Eduardo Tavera On
Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=6mPJsouS7Eo,Star Wars 8: The Last Jedi | official trailer #2 (2017),moviemaniacsDE
Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=2MMgaFdd9h8,Star Wars VIII: The Last Jedi | official trailer (2017),moviemaniacsDE
,,,,
The Lion King,https://www.youtube.com/watch?v=4CbLXeGSDxg,The Lion King Official Teaser Trailer,Walt Disney Studios
The Lion King,https://www.youtube.com/watch?v=7TavVZMewpY,The Lion King Official Trailer,Walt Disney Studios
The Lion King,https://www.youtube.com/watch?v=bIc_30r2ocM,Long Live The King | Scar's Betrayal Scene from The Lion King,Best Scenes Official
The Lion King,https://www.youtube.com/watch?v=lFzVJEksoDY,The Lion King | Original Trailer | Disney+,Disney Plus
The Lion King,https://www.youtube.com/watch?v=GibiNy4d4gc,Carmen Twillie Lebo M. - Circle Of Life (Official Video from "The Lion King"),DisneyMusicVEVO
The Lion King,https://www.youtube.com/watch?v=eHcZlPpNt0Q,The Lion King (1994) Trailer #1 | Movieclips Classic Trailers,Rotten Tomatoes Classic Trailers
The Lion King,https://www.youtube.com/watch?v=o_VPnwAsQDg,THE LION KING MUSICAL | NEW Trailer! 2018 | Official Disney UK,Disney UK
The Lion King,https://www.youtube.com/watch?v=aJbI5f3z3Po,THE LION KING | Official Teaser Trailer,Disney Australia & New Zealand
The Lion King,https://www.youtube.com/watch?v=O4uFSZNypaI,The Lion King | Official Trailer,Nat Geo WILD
The Lion King,https://www.youtube.com/watch?v=36oE0EBeESM,THE LION KING (2019) Trailer,Flicks And The City Clips
,,,,
